firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Imperva Inc,20111108,IMPV,45321L100,13080,22101695,0,2002,0
Impinj Inc,20160721,PI,453204109,16182,17810000,0,2000,0
Implant Science Corp,19990623,IMX,45320R207,86975,5372291,0,1984,0
Imprivata Inc,20140625,IMPR,45323J103,14723,22815867,0,2001,0
"IMREG, INC.",19840117,IMRG,45290810,43765,5007200,1,1981,0
IMRS,19911025,IMRS,449696103,77030,8201886,0,1981,0
In Focus Systems,19901220,INFS,452919103,76507,7364974,0,1986,0
InControl,19940909,INCL,45336L103,80934,11909217,0,1990,0
IncrediMail Ltd,20060130,MAIL,M5364E104,91082,9373668,0,1999,0
Incyte Pharmaceuticals,19931104,IPI,45337C102,79906,6085102,0,1991,0
Independence Contract Drilling,20140808,ICD,453415309,14852,22855155,0,2007,0
Index Technology,19880623,INDX,454088105,11876,4118190,0,1983,0
Indigo,19940524,INDGF,N44495104,80538,50000000,0,1977,0
Individual,19960315,INDV,455912105,83278,11676787,0,1989,0
Industrial Scientific,19930630,ISCX,45631G106,79276,3375000,0,1968,0
INERTIA DYNAMICS,19840208,TRIM,45661610,44055,1525000,0,1980,0
Inet Technologies Inc,19990526,INTI,45662V105,86897,44701292,0,1989,0
Inference,19950629,INFR,45662K109,81715,6850978,1,1982,0
Infineon Technologies AG,20000313,IFX,45662N103,87664,616700000,0,1952,0
Infinera Corp,20070606,INFN,45667G103,92095,83136638,0,2000,0
Infoblox Inc,20120419,BLOX,45672H104,13342,44001144,0,1999,0
Infonautics,19960429,INFO,456662105,83382,9485666,1,1992,0
Infonet Services Corp,19991215,IN,45666T106,87465,469500000,1,1969,0
InfoNow,19920207,INOW,456664101,77326,5300000,0,1990,0
Informatica Corp,19990428,INFA,45666Q102,86830,14340000,0,1993,0
INFORMATICS,19791004,IMAT,45666810,64266,2009483,0,1971,.
INFORMATION RESOURCES,19830304,IRIC,45690510,44194,4307000,0,1977,0
INFORMATION SCIENCE,19830803,INSI,45675110,44143,4177000,0,1965,0
Information Storage Devices,19950209,ISDI,456753102,81255,7670559,0,1987,0
Informix,19860924,IFMX,456779107,10691,6920704,0,1980,0
Infosafe Systems,19950118,ISFEA,456913201,81212,6282606,0,1991,0
Infoseek,19960611,SEEK,45678M107,84009,25397059,0,1993,0
InfoSpace.com,19981215,INSP,45678T102,86544,20116012,0,1996,0
INFOTRON SYSTEMS,19810326,INFN,45680910,44170,4133000,0,1968,0
Ingram Micro,19961031,IM,457153104,84168,130013762,1,1979,0
Inhale Therapeutic Systems,19940503,INHL,457191104,80539,8319965,0,1990,0
Inhibitex,20040603,INHX,45719T103,90243,17495610,0,1994,0
Inktomi Corporation,19980609,INKT,457277101,86173,20550000,0,1996,0
Inmac,19861017,INMC,457538106,10768,8689976,0,1976,0
INMED CORP.,19841003,NMED,45763610,88971,1568000,0,1973,0
InnerWorkings Inc,20060815,INWK,45773Y105,91432,44014319,0,2001,0
Innocoll AG,20140724,INNL,45780Q103,14806,7475090,1,2013,0
Innotech,19960314,IIII,45766M100,83276,10795250,0,1988,0
Innotrac Corp,19980506,INOC,45767M109,86073,9000000,0,1984,0
Innova Corp,19970808,INVA,45766A106,85297,12389006,0,1991,0
Innovasive Devices,19960606,IDEA,45766K104,83666,7260222,0,1991,0
Inogen,20140214,INGN,45780L104,14459,18048936,0,2001,0
Inotek Pharmaceuticals Corp,20150218,ITEK,45780V102,15221,15877490,0,1996,0
Inphi Corp,20101110,IPHI,45772F10,12374,24048849,0,2000,0
InPhonic Inc,20041116,INPC,45772G105,90453,33364547,0,1997,0
Input/Output,19910401,IPOP,457652105,76613,7159880,0,1968,0
INRANGE Technologies Corp,20000921,INRG,45769V206,88636,83333000,1,1968,0
Insignia Systems,19910625,ISIG,45765Y105,76934,4695676,0,1990,0
inSilicon Corp,20000322,INSN,45769H108,87782,14051000,0,1999,0
InSite Vision,19931018,INSV,457660108,79703,8938016,0,1986,0
Inspire Pharmaceuticals Inc,20000803,ISPH,457733103,88532,5797000,0,1993,0
InStent,19950628,ININ,45774D100,81716,9682962,0,1991,0
Instrumentation Laboratory,19961028,ILABY,457810109,84088,9965944,0,1959,0
Insulet Corp,20070514,PODD,45784P101,92050,24633237,0,2000,0
Insweb Corp,19990722,INSW,45809K103,87074,33525000,0,1995,0
Insys Therapeutics Inc,20130502,INSY,45824V100,82831,21395227,0,1990,0
INT'L TECHNOLOGY,19831214,ITCP,46046510,68494,5171000,0,1926,0
INTECOM INC,19821019,INCM,45809810,44485,13530000,0,1980,0
Integ,19960626,NTEG,458100104,83678,9267841,0,1990,0
Integrated Circuit Systems,19910620,ICST,45811K208,76704,975000,0,1976,0
Integrated Circuit Systems Inc,20000522,ICST,45811K208,88275,63493000,0,1976,0
Integrated Communication,19950628,ICNI,457982106,81714,2500000,0,1993,0
INTEGRATED DEVICE TECHN,19840217,IDTI,45811810,44506,12516000,0,1980,0
INTEGRATED GENETICS,19830719,INGN,45791510,44410,8244000,0,1981,0
Integrated Measurement Systems,19950720,IMSC,457923100,81872,8549000,0,1983,0
Integrated Packaging Assembly,19960228,IPAC,457989101,83144,16393443,0,1992,0
Integrated Process Equipment,19920813,IPEC,45812K108,77851,1975310,0,1989,0
Integrated Silicon Solutions,19950202,ISSI,45812P107,81256,7162560,0,1988,0
Integrated Silicon Systems,19940217,ISSS,45812Q105,80250,3841472,0,1988,0
INTEGRATED SOFTWARE,19830323,ISCX,45791410,44397,5046000,0,1970,0
Integrated Surgical Systems,19961121,RDOC,45812Y108,12928,3351648,0,1990,0
Integrated Systems,19900306,INTS,45812M104,76096,7929842,0,1980,0
Integrated Telecom Express Inc,20000817,ITXI,45817U101,88536,12123000,0,1995,0
Intelli-Check Inc,19991118,IDN,45817G102,87439,6271152,0,1994,0
Intellicall,19870825,INCL,45815C103,11630,5070000,0,1985,0
Intellicell,19961217,FONE,45815F106,84310,4217630,0,1991,0
Intelligent Medical Imaging,19960321,IMII,45815T106,83277,10190217,0,1989,0
Intelligent Surgical Laser,19920911,ISLS,457965101,77892,5000000,0,1987,0
INTELLIGENT SYSTEMS,19801231,INTS,45815810,44600,2632000,0,1973,0
Intellon Corp,20071213,ITLN,45816W504,92463,29945227,0,1989,0
INTER-TEL,19810205,INTL,45837210,44637,4102000,0,1969,0
Interactive Intelligence Inc,19990922,ININ,45839M103,87264,13370121,0,1996,0
Interactive Network,19911106,INNN,45837P108,77107,7115992,0,1986,0
Interactive Pictures Corp,19990805,IPIX,45839N101,87171,16924000,0,1986,0
Interactive Technologies,19860306,ITXI,458378205,10091,3775500,0,1980,0
INTERAND CORPORATION,19830602,IRND,45842110,44661,3202000,0,1969,0
Intercardia,19960201,ITRC,45844M106,83146,5699482,0,1994,0
Intercept Pharmaceuticals Inc,20121010,ICPT,45845P108,13643,16483483,0,2002,0
Interchange Corp,20041018,INCX,45845K109,90411,5842736,0,1999,0
INTERFACE FLOORING,19830414,IFSIA,45866510,44768,6882000,1,1973,0
INTERFERON SCIENCES,19810512,IFSC,45890310,44928,4000000,0,1980,0
INTERGRAPH,19810407,INGR,45868310,44792,11513000,0,1969,0
Interland Inc,20000725,ILND,458726106,88447,46600000,0,1997,0
Interline Brands Inc,20041215,IBI,458743101,90503,33625000,0,1978,0
Interlink Electronics,19930607,LINK,458751104,79280,3461699,0,1993,0
INTERMAGNETICS GENERAL,19810413,INMA,45877110,44821,2417000,0,1971,0
Intermet,19850712,INMT,45881K00,89093,11353400,0,1970,0
INTERMETRICS,19820629,IMET,45881610,44856,2716000,0,1969,0
Intermolecular Inc,20111117,IMI,45882D109,13109,42259668,0,2004,0
InterNAP Network Services,19990929,INAP,45885A102,87236,63001228,0,1996,0
International Barrier,19881216,IBCO,459106100,12198,1430000,0,1985,0
International Biotechnologies,19851107,IBIO,45913000,89114,2257793,0,1980,0
International CompuTex Inc,19970429,ICIQ,459337101,84741,3225000,0,1991,0
International Container Sys,19850613,ICSI,45935900,89122,1900000,0,1980,0
International Imaging,19930617,IMAK,45968C108,79275,7543180,0,1989,0
International Isotopes Inc,19970814,INIS,45972C102,85296,6115950,0,1995,0
International Jensen,19920212,IJIN,459721106,77333,5673613,0,1927,0
International Speedway,19961104,ISCA,460335201,84226,38424592,1,1953,0
International Steel Group Inc.,20031212,ISG,460377104,89957,94995629,0,1901,0
International Vitamin,19940216,IVCO,460554207,80376,4620310,0,1971,0
Internet Brands Inc,20071116,INET,460608102,92442,41767897,1,1998,1
"Interneuron Pharmaceuticals,",19900308,IPIC,460573108,76374,14314892,0,1988,0
INTERPHASE CORP.,19840117,INPH,46059310,45560,2543000,0,1977,0
Interplay Entertainment,19980619,IPLY,460615107,86174,15953028,0,1982,0
Interpool,19930504,IPX,46062R108,79209,16627230,0,1988,0
Interpore International,19931220,BONZ,46062W107,79943,6189119,0,1975,0
Interscience Computer Corp,19930915,INTR,46069K106,79887,2374999,0,1983,0
Intersect ENT Inc,20140723,XENT,46071F103,14836,22501808,0,2003,0
Intersections Inc,20040429,INTX,460981301,90129,17890350,0,1996,0
Interspec,19870616,ISPC,46070G102,11424,5691866,0,1979,0
Intertape Polymer Group,19920213,ITP,460919103,77318,9791718,0,1981,0
InterTrust Technologies Corp,19991026,ITRU,46113Q109,87359,37751085,0,1990,0
InterVideo Inc,20030716,IVII,46114Y101,89797,12397139,0,1998,0
Intervisual Books,19911204,IVBK,460918105,77223,4830000,0,1975,0
InterVoice,19850508,INTV,46114200,89181,1538461,0,1982,0
InterVU Inc,19971119,ITVU,46114R106,85560,9168309,0,1995,0
interWAVE Communications,20000128,IWAV,G4911N102,87562,44370879,0,1994,0
InterWorld Corp,19990811,INTW,46114Q108,87169,26961000,0,1995,0
Interwoven Inc,19991007,IWOV,46114T102,87327,21792241,0,1995,0
inTEST Corporation,19970617,INTT,461147100,85013,5911034,0,1981,0
Intimate Brands,19951023,IBI,461156101,82301,250001000,1,1945,0
IntraBiotics Pharmaceuticals,20000327,IBPI,46116T100,87777,28581000,0,1994,0
IntraLase Corp,20041006,ILSE,461169104,90410,26425412,0,1997,0
Intramed Laboratories,19920609,ITML,461172108,77672,3436512,0,1987,0
Intraware Inc,19990225,ITRA,46118M103,86724,23529000,0,1996,0
Intrexon Corp,20130807,XON,46122T102,14072,95210329,1,1998,0
Introgen Therapeutics Inc,20001011,INGN,46119F107,88730,20500000,0,1993,0
Intuit,19930312,INTU,461202103,78975,10893952,0,1983,0
Intuitive Surgical Inc,20000613,ISRG,4.61E+111,88352,34477000,0,1995,0
INVACARE CORP.,19840511,IVCR,46120310,45728,5631000,0,1971,0
InvenSense Inc,20111116,INVN,46123D205,13081,79322687,0,2003,0
Investment Technologies,19850130,IVES,46144900,89200,1332600,0,1983,0
InVision Technologies,19960423,INVN,461851107,83383,4016064,0,1990,0
Invitae Corp,20150212,NVTA,46185L103,15198,30799284,0,2010,0
Invitrogen Corp,19990226,IVGN,46185R100,86725,10421268,0,1987,0
Invitron,19871007,INVN,461856106,11767,14587361,0,1984,0
Invuity Inc,20150615,IVTY,46187J106,15428,13301092,0,2004,0
Iomed Inc,19980423,IOX,462028101,85946,7235000,0,1974,0
IOMEGA CORPORATION,19830707,IOMG,46203010,45891,12729000,0,1980,0
Ipass Inc,20030723,IPAS,46261V108,89796,58710175,0,1996,0
IPC COMMUNICATIONS,19841012,IPCXA,44980M10,88824,4000000,1,1973,0
IPC Holdings,19960307,IPCR,G4933P101,83279,19998151,0,1993,0
IPC Information Systems,19940926,IPCI,44980K107,80935,10701883,0,1973,0
IPG Photonics,20061213,IPGP,44980X109,91668,42880267,0,1990,0
IPI,19940527,INST,449804103,80540,4674087,0,1983,0
IPL SYSTEMS,19810512,IPLSA,44981310,43327,3808000,1,1973,0
iprint.com Inc,20000307,IPRT,462628108,87783,28906748,0,1996,0
IRadimed Corp,20140716,IRMD,46266A109,14807,9016000,0,1992,0
iRhythm Technologies Inc,20161020,IRTC,450056106,16386,93350790,0,2006,0
IRI International Corp,19971113,IIR,45004F107,85612,39000000,0,1985,0
Iridex,19960216,IRIX,462684101,83145,7542147,0,1989,0
iROBOT CORP,20051108,IRBT,462726100,90971,23286889,0,1990,0
Iron Mountain,19960131,IMTN,46284P104,83143,10126582,0,1951,0
Ironwood Pharmaceuticals Inc,20100202,IRWD,46333X10,93264,94912889,1,1998,0
Irwin Magnetic Systems,19861113,IWRN,464140102,10844,5026666,0,1983,0
Isco,19850926,ISKO,46426800,89245,3249130,0,1961,0
Isilon Systems,20061215,ISLN,46432L104,91669,61083904,0,2001,0
Isis Pharmaceuticals,19910517,ISIP,464330109,76661,10581941,0,1989,0
Isolyser,19941020,OREX,464888106,81001,11664000,0,1987,0
Isonics Corp,19970922,ISONU,464895101,88449,5350268,0,1992,0
Ista Pharmaceuticals Inc,20000821,ISTA,45031X105,88535,12123000,0,1992,0
ITI Technologies,19941122,ITII,450564109,81089,8383962,0,1983,0
Itron,19931104,ITRI,465741106,79839,10663727,0,1977,0
ITXC Corp,19990927,ITXC,45069F109,87238,34973964,0,1997,0
Iverson Technology,19850724,IVTC,46582600,89261,2262500,0,1985,0
Ivex Packaging Corp,19970930,IXX,465855104,85429,19166666,0,1967,1
iVillage Inc,19990318,IVIL,46588H105,86777,23147888,0,1995,0
Ivivi Technologies Inc,20061018,II,46589F108,91528,9333819,0,1989,0
Ivy Medical,19860620,IVMI,465902104,10405,1448193,0,1980,0
J. Baker,19860605,JBAK,57232100,10325,6415000,0,1934,0
J.B. HUNT,19831122,JBHT,44565810,42877,11054000,0,1961,0
J&L Specialty Steel,19931214,JL,466046109,80093,37500000,0,1950,0
Jabil Circuit,19930429,JBIL,466313103,79094,13881000,0,1966,0
Jacada Ltd,19991014,JCDA,M6184R10,87360,8121893,0,1990,0
Jakks Pacific,19960502,JAKK,4.70E+110,83520,3277256,0,1995,0
Jason,19870616,JASN,471171108,11425,3200000,0,1985,0
Jazz Pharmaceuticals Inc,20070531,JAZZ,472147107,92096,24550554,0,2003,0
JD.com Inc,20140522,JD.,47215P106,14655,1367085500,1,2004,0
JDA Software Group,19960315,JDAS,46612K108,83283,12184116,0,1995,0
Jean Philippe Fragrances,19880115,JEAN,472154202,11884,7409334,0,1985,0
JEFFERSON SMURFIT,19831110,JJSC,47508610,46448,9500000,0,1976,0
Jefferson Smurfit,19940504,JJSC,475087102,80543,110988462,0,1968,0
"JEFFREY MARTIN, INC.",19830525,JFRY,47577510,46472,10000000,0,1960,0
JENN-AIR,19770414,JENN,47614010,46520,2322000,0,1953,.
Jenny Craig,19911029,JC,224206102,77064,27500000,0,1985,0
Jewelmasters,19860711,JEM,477306104,70076,2100000,1,1930,0
JFAX Com Inc,19990723,JFAX,477366108,87075,30600412,0,1995,0
Jive Software Inc,20111212,JIVE,47760A108,13160,59066276,0,2001,0
JLG INDUSTRIES,19771214,JLG,46621010,46149,1395767,0,1969,.
JOHN O. BUTLER CO.,19840828,BUTC,12340010,19984,3200000,0,1949,0
Johnson Worldwide Associates,19871009,JWAIA,479254104,11775,5968792,1,1985,0
Jore Corp,19990923,JORE,480815109,87240,13222800,0,1987,0
Joule,19861008,JOUL,481109106,75071,2500000,0,1965,0
Joy Technologies,19911115,JOY,481206100,77122,30615040,1,1939,0
JPE,19931026,JPEI,466230109,79708,3616772,0,1972,1
JPM,19960430,JPMC,465933109,83388,5703422,0,1949,0
Juniper Networks,19990624,JNPR,48203R104,86979,50016000,0,1996,0
JUNO LIGHTING INC.,19830901,JUNO,48204710,46843,2175000,0,1976,0
Juno Online Services Inc,19990525,JWEB,482048105,86898,38619351,0,1995,0
Juno Therapeutics Inc,20141219,JUNO,48205A109,15134,77939023,0,2013,0
Just Toys,19921001,JUST,482133105,77968,3000000,0,1989,0
K-Swiss,19900604,KSWS,482686102,76195,6236290,1,1966,0
K-TRON,19801203,KTII,48273010,46931,3494000,0,1964,0
K12 Inc,20071212,LRN,48273U102,92493,27208225,0,2000,0
Kaiser Aluminum,19910711,KLU,483007100,76758,57250000,0,1940,0
KaloBios Pharmaceuticals Inc,20130131,KBIO,48344T100,13755,24127884,0,2000,0
Kana Communications Inc,19990921,KANA,483600102,87241,27278730,0,1996,0
Karyopharm Therapeutics,20131106,KPTI,48576U106,14316,28729593,0,2008,0
KASLER CORP,19820316,KASL,48579510,47141,3743000,0,1947,0
KAYAK Software Corp,20120719,KYAK,486577109,13535,38197597,1,2004,0
Kaynar Technologies Inc,19970506,KTIC,486605108,84815,3394000,0,1943,0
"KBR, Inc.",20061115,KBR,48242W106,91579,167643000,0,1901,0
Keller Industries,19890314,KILSF,48766010,78699,3139000,0,1986,0
Kemet,19921021,KMET,488360108,78001,7298736,0,1926,0
KemPharm Inc,20150416,KMPH,488445107,15294,13462674,0,2006,0
Kendall Square Research,19920327,KSRC,488789108,77444,11326705,0,1986,0
Kenetech,19930921,KWND,488878109,79603,34974214,0,1986,0
Kenexa Corp,20050624,KNXA,488879107,90732,16694513,0,1987,0
Kennedy-Wilson,19920807,KWIC,48939910,77838,14150000,0,1979,0
Kenneth Cole Productions,19940602,KCP,193294105,80679,6475000,1,1982,0
Kensey Nash,19951213,KNSY,490057106,82717,6754757,0,1984,0
Kentek Information Systems,19960417,KNTK,490807104,83389,9025271,0,1981,0
Keptel,19871015,KPTL,492056106,11779,4317894,0,1983,0
KeraVision,19950728,KERA,492061106,81874,12942965,0,1986,0
KERR GLASS MANUFACTURI,19751021,KGM,49237610,58616,3919240,0,1903,.
Keryx Biopharmaceuticals Inc,20000728,KERX,492515101,88451,18800000,0,1997,0
KEVEX,19791016,KEVX,49271710,47555,1589760,0,1967,.
Key Technology,19930723,KTEC,493143101,79399,4628400,0,1982,0
KEY TRONIC CORP.,19830622,KTCC,49314410,47619,8795000,0,1969,0
Keynote Systems Inc,19990924,KEYN,493308100,87242,22788667,0,1995,0
KEYSTONE FOODS CORP,19750715,,49348410,61989,1524945,0,1965,.
Kideo Productions,19960624,KIDO,49380R107,83670,2938707,0,1994,0
Kile Technology,19880804,KILE,494002108,12200,2567848,0,1987,0
KIMBALL,19760928,KBALB,49427410,47715,2450980,0,1901,.
Kinder Morgan Inc,20110210,KMI,49456B101,12558,707000000,0,1992,0
Kindred Biosciences Inc,20131212,KIN,494577109,14352,15047881,0,2012,0
Kinetic Concepts,19880607,KNCI,49460W109,11888,50163828,0,1976,0
Kinetic Concepts Inc,20040223,KCI,49460W208,90044,67513515,0,1976,0
King Pharmaceuticals Inc,19980625,KING,495582108,86176,32000000,0,1993,0
Kintera Inc.,20031219,KNTA,49720P506,89933,22307556,0,2000,0
KiOR Inc,20110623,KIOR,497217109,12887,100981830,1,2007,0
Kips Bay Medical Inc,20110210,KIPS,49726K105,12580,16331791,0,2007,0
Kite Pharma Inc,20140620,KITE,49803L109,14695,13101995,0,2009,0
Kitty Hawk,19961009,KTTY,498326107,84094,10124873,0,1980,0
KLA INSTRUMENTS,19801008,KLAC,48248010,46886,2218000,0,1975,0
KLOSS VIDEO,19810617,KLOS,49875410,47942,1684000,0,1977,0
Knoll Inc,19970509,KNL,498904101,84780,15291308,0,1938,0
Knoll Inc,20041213,KNL,498904200,84780,49550460,0,1938,0
KNOLL INTERNATIONAL,19830809,KNL,49916510,65322,5250000,0,1938,0
Knot Inc,19991201,KNOT,499184109,87496,14098000,0,1996,0
Koala,19931012,KARE,499866101,79710,2300000,0,1993,0
Kofax Image Products,19971010,KOFX,500200100,85476,5294000,0,1985,0
Kohl's,19920518,KSS,500255104,77606,35038217,0,1967,0
Komag,19870528,KMAG,500453105,11365,11261438,0,1983,0
Koo Koo Roo,19911015,KKRO,500485107,77226,4060000,0,1987,0
Kopin,19920415,KOPN,500600101,77515,6546932,0,1984,0
Kornit Digital Ltd,20150402,KRNT,M6372Q11,15295,28701965,0,2002,0
Kos Pharmaceuticals Inc,19970307,KOSP,500648100,84620,14150000,0,1988,0
Kosan Biosciences Inc,20001005,KOSN,50064W107,88733,23845000,0,1995,0
Kraft Foods Inc,20010612,KFT,50075N10,89006,1735000000,1,1914,0
Kronos,19920605,KRON,501052104,77662,4669959,0,1977,0
Krystal,19920514,KRYS,501148100,77601,7290408,0,1932,0
Kurzweil Applied Intelligence,19930817,KURZ,501321103,79501,4908284,0,1982,0
Kurzweil Music,19851217,KURM,50132300,89421,5854386,0,1982,0
KVH Industries,19960402,KVHI,482738101,83390,6780000,0,1978,0
KYLE TECHNOLOGY,19810619,KYLE,50155110,48187,2570000,0,1976,0
Kyphon Inc,20020517,KYPH,50157710,89390,35644570,0,1994,0
KYTHERA Biopharmaceuticals Inc,20121010,KYTH,501570105,13644,17365648,0,2004,0
Kyzen,19950804,KYZN,501596209,82186,4841948,0,1990,0
L.B. FOSTER,19810609,FSTRA,35006010,37402,8196000,1,1902,0
La Crosse Footwear,19940407,BOOT,505688101,80434,6492627,0,1983,0
La Jolla Pharmaceutical,19940603,LJPC,503459109,80640,8207224,0,1989,0
"LADD FURNITURE, INC.",19830804,LADF,50573910,48371,7040000,0,1927,0
Lakeland Industries,19860909,LAKE,511795106,10645,2439395,0,1982,0
LAM RESEARCH CORP.,19840504,LRCX,51280710,48486,7361000,0,1980,0
Lancer,19850611,LACR,51461400,89499,2217859,0,1969,0
Land's End,19861003,LEYS,515086106,75232,9987400,0,1963,0
Landec,19960214,LNDC,514766104,83148,10200364,0,1986,0
Landmark Graphics,19880928,LMRK,514913102,12048,6904378,0,1982,0
Landmark Systems Corp,19971117,LDMK,51506S100,85561,9384010,0,1982,0
Landmark Technology,19861218,LTCO,514904101,72207,12090000,0,1978,0
Lannet Data Communications,19911016,LANTF,516003100,77229,10115515,0,1985,0
Lante Corp,20000210,LNTE,516540101,87616,38590375,0,1984,0
Lantronix Inc,20000804,LTRX,516548104,88542,37567000,0,1989,0
Large Scale Biology Corp,20000810,LSBC,517053104,88540,22400000,0,1987,0
Larizza Industries,19870804,LII,517235107,75173,13800000,0,1982,0
Larscom,19961218,LARS,51729Y108,84317,17700000,1,1989,0
Las Vegas Sands Corp,20041214,LVS,517834107,90505,354160692,0,1988,0
LASER CORP.,19840813,LSER,51805610,48806,3404000,0,1970,0
LASER PHOTONICS,19830105,LAZR,51790310,48785,2091000,0,1980,0
Laser Power Corp,19970619,LPWR,51806K104,85021,4659102,0,1983,0
Laser Video Network,19920610,LVNI,517925103,77675,3827343,0,1991,0
Laser Vision Centers,19910403,LVCI,51807H100,76860,2000000,0,1988,0
Lasergate Systems,19941018,LSGT,517906111,80991,2672430,0,1985,0
Laserscope,19891130,LSCP,518081104,75866,6141076,0,1979,0
"LaserSight, Inc.",19911113,LASE,517924106,77230,1903333,0,1988,0
Latitude Communications Inc,19990506,LATD,518292107,86932,18582000,0,1993,0
Lattice Semiconductor,19891108,LSCC,51841510,75854,9332548,0,1983,0
Lawson Mardon Group Ltd,19870529,LMP,52073D104,75074,28845041,1,1882,0
Lawson Software Inc,20011206,LWSN,52078010,89271,94234000,0,1975,0
Layne,19920820,LAYN,521050104,77862,7005000,0,1900,0
Lazard Ltd,20050504,LAZ,G54050102,90701,100000001,1,1848,0
Lazer-Tron,19940526,LZTN,521085100,80548,4358083,0,1988,0
LCC International,19960925,LCCI,501810105,83944,14114395,1,1983,0
LCI International,19930512,LCII,501813109,79175,14541089,0,1983,0
LDI,19870701,LDIC,501825103,11480,4667000,0,1972,0
Leadis Technology Inc,20040615,LDIS,52171N103,90229,27415082,0,2000,0
LeapFrog Enterprises Inc,20020724,LF,52186N10,89471,42567000,1,1995,0
Lear Seating,19940406,LEA,521893107,80422,45050014,0,1987,0
Learning,19920428,LRNG,522006105,77538,5502963,0,1980,0
Learning Technology,19860319,LERN,522014208,10124,4000000,0,1985,0
Learning Tree International,19951206,LTRE,522015106,82720,13872294,0,1976,0
Lechters,19890720,LECH,523238103,75655,7220698,0,1977,0
LeCroy,19951005,LCRY,52324W109,82504,5255383,0,1964,0
LecTec,19861217,LECT,523251106,10966,3120000,0,1977,0
LEE DATA,19821118,LEDA,52376310,49083,12732000,0,1979,0
LEECO DIAGNOSTICS,19831013,LECO,52416410,49104,2053000,0,1978,0
Legato Systems,19950706,LGTO,524651106,81877,7645188,0,1988,0
LeMaitre Vascular Inc,20061019,LMAT,525558201,91503,15272064,0,1983,0
LendingClub Corp,20141211,LC,52603A109,15092,369272201,0,2006,0
LendingTree Inc,20000215,TREE,52602Q105,87636,18023000,0,1996,0
Lennox International Inc,19990728,LII,526107107,87034,43650247,0,1895,0
LESCO INC.,19840829,LSCO,52687210,49227,2050000,0,1962,0
Leslie's Poolmart,19910419,LESL,527069108,76621,5517500,0,1963,0
LeukoSite Inc,19970815,LKST,52728R102,85300,9130865,0,1992,0
Level One Communications Inc,19930819,LEVL,527295109,79503,7166447,0,1985,0
LEVITT CORP.,19831108,LEVT,52742810,65971,3400000,0,1947,0
Levitz Furniture Inc,19930702,LFI,527482103,79437,28920635,0,1910,0
LEWIS GALOOB TOYS,19840927,GATO,36409110,88269,5104000,0,1957,0
Lexar Media Inc,20000815,LEXR,52886P104,88539,12123000,0,1993,0
Lexent Inc,20000727,LXNT,52886Q102,88454,21147000,0,1998,0
Lexicon Genetics Inc,20000407,LEXG,528872104,88173,47515000,0,1995,0
LEXIDATA,19811223,LEXD,52887510,49307,4271000,0,1974,0
LHC Group Inc,20050608,LHCG,50187A107,90734,16591870,0,1994,1
LHS Group Inc,19970515,LHSG,501938104,84817,19695000,0,1990,0
Libbey,19930617,LBY,529898108,79336,15000000,0,1900,0
Liberate Technologies,19990727,LBRT,530129105,87111,41080613,0,1995,0
Liberty Technologies,19930331,LIBT,531281103,78978,4310363,0,1984,0
Lida,19920506,LIDA,531704104,77577,7593685,1,1970,0
Lidak Pharmaceuticals,19900508,LDAKU,531707107,76383,10045000,0,1988,0
LIEBERT,19810701,LIEB,53173510,49411,6626000,0,1965,0
LIFE INSTRUMENTS,19791129,LIFQC,53185110,49462,2412444,0,1977,.
Life Medical Sciences,19920922,CHAI,53215M101,77913,2875000,0,1990,0
Life Re,19921027,LRE,532160108,78039,15526310,0,1967,0
Life Technologies,19861001,LTEK,532177102,10713,12694553,0,1915,0
LifeCell,19920227,LIFC,531927101,77362,3555654,0,1986,0
LIFELINE SYSTEMS,19830727,LIFL,53219210,49534,3020000,0,1974,0
Lifequest Medical,19920820,LQMD,531928109,77865,3313327,0,1988,0
Lifetime Hoan,19910605,LCUT,531926103,76686,4749794,0,1945,0
Ligand Pharmaceutical,19921118,LGNDA,53220K108,78081,13397729,1,1987,0
Liggett Group,19871008,LIG,532202108,75233,24000000,0,1873,0
Lightbridge,19960927,LTBG,532226107,83946,14537108,0,1989,0
Lillian Vernon,19870813,LVC,532430105,75174,6140000,0,1951,0
Limelight Networks Inc,20070607,LLNW,53261M104,92097,81833587,0,2001,0
Lincoln Foodservice Products,19860610,LINN,533580106,10344,3850000,0,1901,0
Lindsay Manufacturing,19881012,LINZ,535555106,12211,2070000,0,1969,0
LINEAR CORPORATION,19830719,LINE,53566710,49753,2992000,0,1961,0
Linear Films,19851107,LNER,535669105,89624,4250000,0,1961,0
Linear Technology,19860528,LLTC,535678106,10299,15607825,0,1981,0
LinkedIn Corp,20110518,LNKD,53578A108,12742,95674627,1,2003,0
Lionbridge Technologies,19990820,LIOX,536252109,87172,14719450,0,1996,0
LipoScience Inc,20130125,LIPO,53630M108,13759,14638795,0,1994,0
Liposome,19860723,LIPO,536310105,10513,12193263,0,1981,0
Liposome Technology,19870519,LTIZ,536311103,11346,6223508,0,1981,0
LIQUID AIR,19751028,LANA,53631510,49825,-9,0,1965,.
Liquid Audio Inc,19990709,LQID,53631T10,87076,17836492,0,1996,0
Liquidity Services Inc,20060222,LQDT,53635B107,91095,27329554,0,1999,0
